UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.5.0.668 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.6.5.726 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.7.2.757 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.4.0.460 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.7.0.733 U2/1.0.0 Mobile
Dalvik/1.6.0 (Linux; U; Android 4.2.2; GT-S7582 Build/JDQ39)
UCWEB/2.0 (MIDP-2.0; U; Adr 5.1.1; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.7.8.806 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.7.5.785 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.9.5.983 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.4.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.5.1.494 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.2.0.584 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.2.0.419 U2/1.0.0 Mobile
UCWEB/2.0 (Linux; U; Opera Mini/7.1.32052/30.3697; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.4.0.460 Mobile
UCWEB/2.0(Linux; U; Opera Mini/7.1.32052/30.3697; en-us; GT-S7582 Build/JDQ39) U2/1.0.0 UCBrowser/9.8.0.435 Mobile
UCWEB/2.0 (Linux; U; Opera Mini/7.1.32052/30.3697; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.0.2.389 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.7.8.806 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.4.2.659 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; id; GT-S7582) U2/1.0.0 UCBrowser/10.7.9.856 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.6.0.514 U2/1.0.0 Mobile
UCWEB/2.0 (Linux; U; Opera Mini/7.1.32052/30.3697; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.1.1.420 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.1.5.583 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.7.9.856 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 7.1.1; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.9.0.946 U2/1.0.0 Mobile
UCWEB/2.0(Linux; U; Opera Mini/7.1.32052/30.3697; en-us; GT-S7582 Build/JDQ39) U2/1.0.0 UCBrowser/9.5.0.360 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.3.0.622 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; one.airtel.in; GT-S7582) U2/1.0.0 UCBrowser/9.8.0.534 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.7.0.520 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.5.1.494 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/9.8.0.534 U2/1.0.0 Mobile
UCWEB/2.0 (Linux; U; Adr 4.2.2; en-GB; GT-S7582) U2/1.0.0 UCBrowser/8.6.0.276 U2/1.0.0 Mobile
UCWEB/2.0 (MIDP-2.0; U; Adr 4.2.2; en-US; GT-S7582) U2/1.0.0 UCBrowser/10.9.0.946 U2/1.0.0 Mobile
